n	i	Nsites	phi
35	15	511	0.116666666666667
35	14	477	0.119047619047619
35	8	481	0.162037037037037
35	4	692	0.282258064516129
35	10	522	0.14
35	5	659	0.233333333333333
78	35	1	0.0518272425249169
78	32	1	0.0529891304347826
78	11	4	0.105834464043419
78	21	5	0.0651629072681704
78	26	1	0.0576923076923077
78	17	1	0.0752169720347155
78	22	1	0.0633116883116883
78	18	2	0.0722222222222222
78	13	2	0.0923076923076923
78	23	1	0.0616600790513834
78	29	1	0.0548909218859958
78	25	2	0.0588679245283019
78	28	1	0.0557142857142857
78	39	2	0.0256410256410256
78	9	4	0.1256038647343
78	12	4	0.0984848484848485
78	15	1	0.0825396825396825
78	20	1	0.0672413793103448
78	14	1	0.0870535714285714
78	8	1	0.139285714285714
78	38	1	0.0513157894736842
78	34	1	0.0521390374331551
78	37	1	0.0514172709294661
78	24	3	0.0601851851851852
78	10	2	0.114705882352941
78	19	2	0.0695807314897413
78	31	2	0.0535346602608099
93	27	1	0.0521885521885522
93	40	1	0.0438679245283019
93	17	1	0.0719814241486068
93	41	3	0.0436210131332083
93	46	1	0.0430157261794635
93	37	1	0.0448841698841699
93	13	1	0.0894230769230769
93	29	1	0.0501077586206897
93	44	1	0.0431354359925789
106	52	1	0.0377492877492877
106	53	1	0.0188679245283019
65	32	10	0.0615530303030303
65	21	9	0.0703463203463204
65	7	8	0.160098522167488
65	26	6	0.0641025641025641
65	17	8	0.079656862745098
65	18	7	0.0768321513002364
65	30	5	0.0619047619047619
65	16	9	0.0829081632653061
65	25	4	0.065
65	27	5	0.0633528265107212
65	28	2	0.0627413127413127
65	20	7	0.0722222222222222
65	14	5	0.0910364145658263
65	24	5	0.0660569105691057
65	10	9	0.118181818181818
65	31	10	0.0616698292220114
65	11	10	0.109427609427609
65	22	3	0.0687103594080338
65	23	3	0.067287784679089
65	13	11	0.0961538461538462
65	29	5	0.0622605363984674
65	9	7	0.128968253968254
65	12	3	0.102201257861635
65	15	5	0.0866666666666667
65	8	5	0.142543859649123
65	19	10	0.074370709382151
29	6	885	0.210144927536232
29	11	853	0.146464646464646
29	3	1170	0.371794871794872
29	7	848	0.188311688311688
29	9	901	0.161111111111111
29	12	885	0.142156862745098
29	14	899	0.138095238095238
29	8	883	0.172619047619048
29	4	1042	0.29
29	10	876	0.152631578947368
29	13	850	0.139423076923077
29	5	929	0.241666666666667
114	14	1	0.0814285714285714
58	11	20	0.112185686653772
58	21	18	0.0746460746460746
58	7	33	0.162464985994398
58	26	20	0.0697115384615385
58	17	13	0.0832137733142037
58	22	17	0.0732323232323232
58	18	20	0.0805555555555555
58	16	14	0.0863095238095238
58	13	13	0.0991452991452992
58	23	25	0.0720496894409938
58	29	8	0.0344827586206897
58	25	14	0.0703030303030303
58	27	24	0.0692951015531661
58	6	25	0.185897435897436
58	28	17	0.0690476190476191
58	9	14	0.131519274376417
58	12	15	0.105072463768116
58	14	19	0.0941558441558442
58	15	24	0.089922480620155
58	20	15	0.0763157894736842
58	8	26	0.145
58	24	21	0.071078431372549
58	10	18	0.120833333333333
58	19	19	0.0782726045883941
153	28	1	0.0437142857142857
137	66	1	0.0292360221937687
81	35	3	0.0503105590062112
81	32	2	0.0516581632653061
81	11	2	0.105194805194805
81	33	1	0.0511363636363636
81	26	1	0.0566433566433566
81	17	1	0.0744485294117647
81	22	2	0.0624036979969183
81	18	3	0.0714285714285714
81	30	2	0.0529411764705882
81	13	1	0.0916289592760181
81	16	2	0.0778846153846154
81	29	1	0.0537135278514589
81	27	1	0.0555555555555556
81	25	2	0.0578571428571429
81	36	2	0.05
81	40	1	0.049390243902439
81	12	1	0.0978260869565217
81	20	2	0.0663934426229508
81	14	1	0.0863539445628998
81	38	1	0.0495716034271726
81	34	1	0.0506883604505632
81	24	2	0.0592105263157895
81	10	1	0.114084507042254
81	31	1	0.052258064516129
60	11	18	0.111317254174397
60	21	14	0.0732600732600732
60	7	26	0.161725067385445
60	26	8	0.0678733031674208
60	17	20	0.0820793433652531
60	22	18	0.0717703349282297
60	18	11	0.0793650793650794
60	30	7	0.0333333333333333
60	13	13	0.0981996726677578
60	16	8	0.0852272727272727
60	23	17	0.0705052878965922
60	29	17	0.0667408231368187
60	25	12	0.0685714285714286
60	27	12	0.0673400673400673
60	28	14	0.0669642857142857
60	9	17	0.130718954248366
60	12	10	0.104166666666667
60	15	13	0.0888888888888889
60	14	22	0.093167701863354
60	20	17	0.075
60	8	21	0.144230769230769
60	24	15	0.0694444444444444
60	10	12	0.12
