n	i	Nsites	phi
64	9	14	0.129292929292929
64	12	8	0.102564102564103
64	15	13	0.0870748299319728
64	8	11	0.142857142857143
64	19	4	0.0748538011695906
97	42	1	0.041991341991342
97	21	1	0.0607769423558897
97	18	1	0.0682137834036568
97	40	1	0.0425438596491228
97	23	1	0.0569917743830787
97	43	1	0.0417743324720069
97	41	1	0.0422473867595819
41	11	204	0.124242424242424
41	7	224	0.172268907563025
41	17	255	0.100490196078431
41	18	211	0.0990338164251208
41	16	251	0.1025
41	13	236	0.112637362637363
41	6	279	0.195238095238095
41	9	209	0.142361111111111
41	12	231	0.117816091954023
41	14	206	0.108465608465608
41	15	256	0.105128205128205
41	20	226	0.0976190476190476
41	8	243	0.15530303030303
41	10	236	0.132258064516129
41	19	235	0.0980861244019139
41	5	305	0.227777777777778
52	11	44	0.11529933481153
52	21	39	0.0798771121351766
52	7	52	0.165079365079365
52	26	24	0.0384615384615385
52	17	33	0.0873949579831933
52	22	51	0.0787878787878788
52	18	49	0.0849673202614379
52	13	41	0.102564102564103
52	16	40	0.0902777777777778
52	23	37	0.0779610194902549
52	6	64	0.188405797101449
52	25	46	0.077037037037037
52	9	52	0.134366925064599
52	12	50	0.108333333333333
52	20	50	0.08125
52	14	52	0.0977443609022556
52	15	50	0.0936936936936937
52	8	43	0.147727272727273
52	24	43	0.0773809523809524
52	10	51	0.123809523809524
52	19	53	0.0829346092503987
56	11	20	0.113131313131313
56	21	25	0.0761904761904762
56	7	32	0.163265306122449
56	26	29	0.0717948717948718
56	17	21	0.0844645550527904
56	22	33	0.0748663101604278
56	18	29	0.0818713450292398
56	13	25	0.100178890876565
56	16	22	0.0875
56	23	35	0.0737812911725955
56	6	38	0.186666666666667
56	25	27	0.072258064516129
56	27	20	0.0715197956577267
56	28	7	0.0357142857142857
56	9	25	0.132387706855792
56	12	24	0.106060606060606
56	20	21	0.0777777777777778
56	14	28	0.0952380952380952
56	15	29	0.0910569105691057
56	8	29	0.145833333333333
56	24	31	0.0729166666666667
56	19	23	0.0796586059743954
56	10	35	0.121739130434783
45	11	133	0.120320855614973
45	21	128	0.0892857142857143
45	7	143	0.169172932330827
45	17	145	0.0945378151260504
45	22	140	0.0889328063241107
45	18	98	0.0925925925925926
45	16	135	0.0969827586206897
45	13	133	0.108173076923077
45	6	153	0.192307692307692
45	9	121	0.138888888888889
45	12	137	0.113636363636364
45	20	125	0.09
45	14	130	0.1036866359447
45	15	135	0.1
45	8	122	0.152027027027027
45	19	127	0.0910931174089069
45	10	131	0.128571428571429
45	5	171	0.225
66	33	4	0.0303030303030303
66	32	3	0.0606617647058824
66	21	5	0.0698412698412698
66	7	9	0.159806295399516
66	26	6	0.0634615384615385
66	17	7	0.0792316926770708
66	18	6	0.0763888888888889
66	30	8	0.0611111111111111
66	16	11	0.0825
66	25	6	0.064390243902439
66	27	7	0.0626780626780627
66	28	4	0.0620300751879699
66	14	4	0.0906593406593407
66	20	9	0.0717391304347826
66	24	7	0.0654761904761905
66	10	4	0.117857142857143
66	31	8	0.0608294930875576
66	11	8	0.109090909090909
66	22	11	0.0681818181818182
66	23	9	0.0667340748230536
66	13	8	0.0957910014513788
66	29	5	0.0615097856477167
66	9	12	0.128654970760234
66	12	7	0.101851851851852
66	15	8	0.0862745098039216
66	8	6	0.142241379310345
66	19	1	0.0739081746920493
54	11	35	0.114164904862579
54	21	34	0.0779220779220779
54	7	39	0.164133738601824
54	26	36	0.0741758241758242
54	17	42	0.0858505564387917
54	22	23	0.0767045454545455
54	18	35	0.0833333333333333
54	13	35	0.101313320825516
54	16	23	0.0888157894736842
54	23	29	0.0757363253856942
54	27	17	0.037037037037037
54	25	29	0.0744827586206896
54	6	46	0.1875
54	9	34	0.133333333333333
54	12	28	0.107142857142857
54	20	34	0.0794117647058823
54	15	34	0.0923076923076923
54	14	36	0.0964285714285714
54	8	40	0.146739130434783
54	24	26	0.075
54	10	25	0.122727272727273
54	19	34	0.081203007518797
70	35	3	0.0285714285714286
70	33	2	0.0573300573300573
70	11	5	0.107858243451464
70	32	4	0.0575657894736842
70	21	1	0.0680272108843537
70	26	8	0.0611888111888112
70	17	5	0.0776914539400666
70	22	4	0.0662878787878788
70	18	5	0.0747863247863248
70	30	2	0.0583333333333333
70	23	2	0.0647548566142461
70	16	5	0.0810185185185185
70	13	5	0.0944669365721997
70	29	5	0.0588730025231287
70	27	2	0.0602928509905254
70	25	4	0.0622222222222222
70	28	2	0.0595238095238095
70	9	3	0.127504553734062
70	12	2	0.100574712643678
70	14	1	0.0892857142857143
70	15	4	0.0848484848484848
70	20	4	0.07
70	8	3	0.141129032258065
70	34	8	0.0571895424836601
70	24	6	0.0634057971014493
70	19	5	0.0722394220846233
70	10	1	0.116666666666667
70	31	3	0.0578990901571547
68	11	6	0.108452950558214
68	32	7	0.0590277777777778
68	33	3	0.0588744588744589
68	21	10	0.0688956433637285
68	7	10	0.159250585480094
68	26	8	0.0622710622710623
68	17	4	0.0784313725490196
68	22	6	0.0671936758893281
68	18	5	0.0755555555555556
68	30	9	0.0596491228070175
68	13	5	0.0951048951048951
68	16	5	0.0817307692307692
68	23	4	0.0657004830917874
68	29	3	0.0601237842617153
68	27	4	0.0614272809394761
68	25	4	0.0632558139534884
68	28	6	0.0607142857142857
68	9	4	0.128060263653484
68	12	5	0.101190476190476
68	15	2	0.0855345911949685
68	14	2	0.0899470899470899
68	20	5	0.0708333333333333
68	8	8	0.141666666666667
68	34	1	0.0294117647058824
68	24	7	0.0643939393939394
68	19	2	0.0730397422126745
68	10	10	0.117241379310345
68	31	6	0.0592850915431561
88	35	1	0.0474393530997305
88	11	3	0.103896103896104
88	17	1	0.0729080364540182
88	22	1	0.0606060606060606
88	30	1	0.0505747126436782
88	23	1	0.0588628762541806
88	13	1	0.0902564102564103
88	25	2	0.0558730158730159
88	28	1	0.0523809523809524
88	36	1	0.047008547008547
88	9	1	0.123769338959212
88	12	1	0.0964912280701754
88	41	1	0.0456668396471199
88	14	1	0.0849420849420849
88	20	1	0.0647058823529412
88	15	1	0.080365296803653
88	38	1	0.0463157894736842
88	34	1	0.0479302832244009
88	24	2	0.0572916666666667
88	19	1	0.0671243325705568
88	31	2	0.0498019241652518
116	13	1	0.0866318147871546
116	29	1	0.0459770114942529
136	38	1	0.0365198711063373
30	11	800	0.143540669856459
30	7	830	0.186335403726708
30	13	807	0.135746606334842
30	6	771	0.208333333333333
30	9	774	0.158730158730159
30	12	867	0.138888888888889
30	14	852	0.133928571428571
30	15	392	0.0666666666666667
30	8	812	0.170454545454545
30	4	987	0.288461538461538
30	10	780	0.15
30	5	925	0.24
144	23	1	0.0517427236794826
100	25	1	0.0533333333333333
100	33	1	0.0452284034373587
100	50	1	0.02
100	36	1	0.0434027777777778
100	20	1	0.0625
100	15	1	0.0784313725490196
100	49	1	0.040016006402561
100	23	1	0.0564652738565782
28	6	924	0.212121212121212
28	11	926	0.149732620320856
28	3	1271	0.373333333333333
28	7	932	0.19047619047619
28	9	944	0.16374269005848
28	12	948	0.145833333333333
28	14	500	0.0714285714285714
28	8	937	0.175
28	4	1104	0.291666666666667
28	13	964	0.143589743589744
28	10	961	0.155555555555556
28	5	1007	0.243478260869565
120	46	1	0.0352526439482961
40	11	253	0.125391849529781
40	7	277	0.173160173160173
40	17	286	0.10230179028133
40	18	257	0.101010101010101
40	16	282	0.104166666666667
40	13	240	0.113960113960114
40	6	341	0.196078431372549
40	9	245	0.14336917562724
40	12	263	0.119047619047619
40	15	250	0.106666666666667
40	20	154	0.05
40	14	271	0.10989010989011
40	8	243	0.15625
40	10	297	0.133333333333333
40	19	257	0.100250626566416
40	5	334	0.228571428571429
75	32	4	0.0545058139534884
75	33	1	0.0541125541125541
75	21	3	0.0661375661375661
75	26	1	0.0588697017268446
75	17	4	0.0760649087221095
75	18	1	0.0730994152046784
75	30	3	0.0555555555555556
75	16	4	0.0794491525423729
75	25	3	0.06
75	27	1	0.0578703703703704
75	28	2	0.0569908814589666
75	20	2	0.0681818181818182
75	14	3	0.0878220140515222
75	24	1	0.0612745098039216
75	31	2	0.0549853372434018
75	35	4	0.0535714285714286
75	11	1	0.106534090909091
75	22	1	0.0643224699828473
75	13	4	0.0930521091811414
75	23	1	0.0627090301003344
75	29	3	0.0562218890554723
75	36	2	0.0534188034188034
75	9	1	0.126262626262626
75	12	5	0.0992063492063492
75	15	1	0.0833333333333333
75	8	5	0.139925373134328
75	34	2	0.0538020086083214
75	37	1	0.0533428165007112
75	19	4	0.0704887218045113
83	35	3	0.0494047619047619
83	32	1	0.0508578431372549
83	11	1	0.10479797979798
83	21	1	0.0637480798771121
83	26	1	0.0560053981106613
83	17	1	0.0739750445632799
83	22	1	0.0618479880774963
83	18	1	0.0709401709401709
83	30	1	0.0522012578616352
83	13	1	0.0912087912087912
83	16	1	0.0774253731343284
83	23	1	0.0601449275362319
83	39	1	0.0483682983682984
83	41	1	0.0481997677119628
83	12	1	0.0974178403755868
83	14	1	0.0859213250517598
83	38	3	0.0485380116959064
83	37	2	0.0487661574618096
83	10	1	0.113698630136986
83	31	1	0.0514888337468983
59	11	18	0.111742424242424
59	21	20	0.0739348370927318
59	7	28	0.162087912087912
59	26	14	0.0687645687645688
59	17	20	0.0826330532212885
59	22	10	0.0724815724815725
59	18	21	0.0799457994579946
59	16	14	0.0857558139534884
59	13	18	0.0986622073578595
59	23	17	0.071256038647343
59	29	14	0.067816091954023
59	27	17	0.068287037037037
59	25	18	0.0694117647058824
59	6	28	0.185534591194969
59	28	15	0.0679723502304147
59	9	12	0.131111111111111
59	12	17	0.104609929078014
59	14	18	0.0936507936507937
59	20	17	0.0756410256410256
59	15	10	0.0893939393939394
59	8	16	0.144607843137255
59	24	19	0.0702380952380952
59	19	18	0.0776315789473684
59	10	20	0.120408163265306
130	60	1	0.030952380952381
53	11	33	0.114718614718615
53	21	31	0.0788690476190476
53	7	48	0.164596273291925
53	26	30	0.0754985754985755
53	17	47	0.0866013071895425
53	22	34	0.0777126099706745
53	18	39	0.0841269841269841
53	16	41	0.089527027027027
53	13	31	0.101923076923077
53	23	39	0.0768115942028985
53	25	35	0.0757142857142857
53	6	61	0.187943262411348
53	9	46	0.133838383838384
53	12	40	0.107723577235772
53	20	33	0.0803030303030303
53	15	30	0.0929824561403509
53	14	40	0.0970695970695971
53	8	42	0.147222222222222
53	24	31	0.0761494252873563
53	10	35	0.123255813953488
53	19	35	0.0820433436532508
122	51	1	0.0336923501795084
143	69	1	0.0280062671367019
42	11	204	0.12316715542522
42	21	104	0.0476190476190476
42	7	213	0.171428571428571
42	17	194	0.0988235294117647
42	18	208	0.0972222222222222
42	13	188	0.111405835543767
42	16	191	0.100961538461538
42	6	247	0.194444444444444
42	9	203	0.141414141414141
42	12	210	0.116666666666667
42	15	186	0.103703703703704
42	20	192	0.0954545454545455
42	14	182	0.107142857142857
42	8	178	0.154411764705882
42	10	205	0.13125
42	19	198	0.0961098398169336
42	5	265	0.227027027027027
46	11	97	0.119480519480519
46	21	105	0.0876190476190476
46	7	111	0.168498168498168
46	17	131	0.0933062880324544
46	22	101	0.0871212121212121
46	18	107	0.0912698412698413
46	13	108	0.107226107226107
46	23	52	0.0434782608695652
46	16	108	0.0958333333333333
46	6	121	0.191666666666667
46	9	119	0.138138138138138
46	12	114	0.112745098039216
46	15	107	0.0989247311827957
46	20	104	0.0884615384615385
46	14	107	0.102678571428571
46	8	118	0.151315789473684
46	10	122	0.127777777777778
46	19	127	0.0896686159844055
46	5	151	0.224390243902439
105	11	2	0.101547388781431
85	32	1	0.0501179245283019
85	33	3	0.0495337995337995
85	21	2	0.0632440476190476
85	42	1	0.0470653377630122
85	13	1	0.0908119658119658
85	16	1	0.0769927536231884
85	23	1	0.0596072931276297
85	28	2	0.0532581453634085
85	40	1	0.0472222222222222
85	9	2	0.124269005847953
85	41	1	0.0471175166297118
85	14	2	0.0855130784708249
85	38	1	0.0475923852183651
85	37	1	0.0478603603603604
85	24	2	0.0580601092896175
36	11	467	0.130909090909091
36	7	468	0.177339901477833
36	17	389	0.111455108359133
36	18	234	0.0555555555555556
36	16	467	0.1125
36	13	436	0.120401337792642
36	6	475	0.2
36	9	459	0.148148148148148
36	12	447	0.125
36	15	472	0.114285714285714
36	14	462	0.116883116883117
36	8	434	0.160714285714286
36	4	665	0.28125
36	10	446	0.138461538461538
36	5	550	0.232258064516129
94	25	1	0.0544927536231884
94	46	1	0.0425724637681159
94	10	1	0.111904761904762
94	29	1	0.049867374005305
51	11	51	0.115909090909091
51	21	62	0.0809523809523809
51	7	59	0.165584415584416
51	17	53	0.0882352941176471
51	22	57	0.0799373040752351
51	18	52	0.0858585858585859
51	23	42	0.0791925465838509
51	13	51	0.103238866396761
51	16	50	0.0910714285714286
51	25	58	0.0784615384615385
51	6	78	0.188888888888889
51	9	53	0.134920634920635
51	12	67	0.108974358974359
51	15	63	0.0944444444444444
51	20	59	0.082258064516129
51	14	54	0.0984555984555985
51	8	62	0.148255813953488
51	24	41	0.0787037037037037
51	19	40	0.0838815789473684
51	10	52	0.124390243902439
38	11	355	0.127946127946128
38	7	342	0.175115207373272
38	17	361	0.106442577030812
38	18	356	0.105555555555556
38	16	329	0.107954545454545
38	13	329	0.116923076923077
38	6	376	0.197916666666667
38	9	339	0.145593869731801
38	12	363	0.121794871794872
38	15	364	0.110144927536232
38	14	355	0.113095238095238
38	8	365	0.158333333333333
38	4	532	0.279411764705882
38	10	332	0.135714285714286
38	19	181	0.0526315789473684
38	5	408	0.23030303030303
34	11	518	0.134387351778656
34	7	570	0.17989417989418
34	17	309	0.0588235294117647
34	13	618	0.124542124542125
34	16	633	0.118055555555556
34	6	594	0.202380952380952
34	9	562	0.151111111111111
34	12	586	0.128787878787879
34	14	549	0.121428571428571
34	15	571	0.119298245614035
34	8	569	0.163461538461538
34	4	770	0.283333333333333
34	10	531	0.141666666666667
34	5	617	0.23448275862069
132	47	1	0.0330413016270338
