sim	1400000	1	1
sim	1400000	4	1
sim	1400000	16	1
sim	1400000	32	1
sim	1400000	64	0.85138888888889
sim	1400000	128	0
sim	1120000	1	1
sim	1120000	4	1
sim	1120000	16	1
sim	1120000	32	1
sim	1120000	64	0.21666666666667
sim	1120000	128	0
sim	933333	1	1
sim	933333	4	1
sim	933333	16	1
sim	933333	32	0.99583333333333
sim	933333	64	0.0125
sim	933333	128	0
sim	800000	1	1
sim	800000	4	1
sim	800000	16	1
sim	800000	32	0.93472222222222
sim	800000	64	0
sim	800000	128	0
sim	700000	1	1
sim	700000	4	1
sim	700000	16	1
sim	700000	32	0.77638888888889
sim	700000	64	0
sim	700000	128	0
sim	466666	1	1
sim	466666	4	1
sim	466666	16	0.96388888888889
sim	466666	32	0.076388888888889
sim	466666	64	0
sim	466666	128	0
sim	350000	1	1
sim	350000	4	1
sim	350000	16	0.70277777777778
sim	350000	32	0.0013888888888889
sim	350000	64	0
sim	350000	128	0
sim	233333	1	1
sim	233333	4	1
sim	233333	16	0.175
sim	233333	32	0
sim	233333	64	0
sim	233333	128	0
sim	175000	1	1
sim	175000	4	0.975
sim	175000	16	0.019444444444444
sim	175000	32	0
sim	175000	64	0
sim	175000	128	0
sim	87500	1	0.99166666666667
sim	87500	4	0.65972222222222
sim	87500	16	0
sim	87500	32	0
sim	87500	64	0
sim	87500	128	0
sim	43750	1	0.8875
sim	43750	4	0.19305555555556
sim	43750	16	0
sim	43750	32	0
sim	43750	64	0
sim	43750	128	0
sim	21875	1	0.67083333333333
sim	21875	4	0.019444444444444
sim	21875	16	0
sim	21875	32	0
sim	21875	64	0
sim	21875	128	0
sim	10937	1	0.44027777777778
sim	10937	4	0.0055555555555556
sim	10937	16	0
sim	10937	32	0
sim	10937	64	0
sim	10937	128	0
sim	5468	1	0.24027777777778
sim	5468	4	0
sim	5468	16	0
sim	5468	32	0
sim	5468	64	0
sim	5468	128	0
sim	2734	1	0.12361111111111
sim	2734	4	0
sim	2734	16	0
sim	2734	32	0
sim	2734	64	0
sim	2734	128	0
sim	1367	1	0.075
sim	1367	4	0
sim	1367	16	0
sim	1367	32	0
sim	1367	64	0
sim	1367	128	0
sim	683	1	0.027777777777778
sim	683	4	0
sim	683	16	0
sim	683	32	0
sim	683	64	0
sim	683	128	0
sim	341	1	0.0125
sim	341	4	0
sim	341	16	0
sim	341	32	0
sim	341	64	0
sim	341	128	0
sim	170	1	0.0041666666666667
sim	170	4	0
sim	170	16	0
sim	170	32	0
sim	170	64	0
sim	170	128	0
ds_orig	1400000	1	1.0
ds_orig	1120000	1	1.0
ds_orig	933333	1	1.0
ds_orig	800000	1	1.0
ds_orig	700000	1	1.0
ds_orig	466667	1	0.9583333333333334
ds_orig	350000	1	0.9583333333333334
ds_orig	233333	1	0.8333333333333334
ds_orig	175000	1	0.7916666666666666
ds_orig	87500	1	0.7083333333333334
ds_orig	43750	1	0.5833333333333334
ds_orig	21875	1	0.5
ds_orig	10937.5	1	0.4583333333333333
ds_orig	5468.75	1	0.25
ds_orig	2734.38	1	0.16666666666666666
ds_orig	1367.19	1	0.125
ds_orig	683.594	1	0.08333333333333333
ds_orig	341.797	1	0.0
ds_orig	170.898	1	0.0
